"title","date","tags","article"
"売上高初の１０００億円超え　１２月期決算","2018年2月13日 21時53分","経済,最新の経済ニュース,企業・産業,速報","ワールドホールディングスが１３日発表した２０１７年１２月期連結決算は、売上高が前期比３４．８％増の１２７１億４７００万円で８期連続の増収となり、最終（当期）利益は１０．０％増の４６億１２００万円で７期連続の増益だった。人材育成や派遣、不動産事業が好調で、売上高は初めて１０００億円を超え、最終利益とともに過去最高となった。半導体の関連分野や物流業界を中心に人手不足が強まっていることから、製造現場などに多人数を投入できる実力やエンジニアなど専門職の育成能力が評価され、売り上げを伸ばした。経常利益は４．１％減の７０億７００万円で７期ぶりの減益だった。人件費などのコストが上昇したため。所得拡大促進税制の適用などで最終利益は増益となった。記者会見で伊井田栄吉社長は「今後５年で売上高２０００億円を達成するため、Ｍ＆Ａ（企業の合併・買収）を積極的に進めていく」と話し、多角化を進める方針を示した。【高橋慶浩】"
"最終利益４．８倍の２５２億円","2018年2月13日 21時51分","経済,最新の経済ニュース,企業・産業,速報","コカ・コーラボトラーズジャパンホールディングスが１３日発表した２０１７年１２月期連結決算は、売上高が前期比８９．５％増の８７２６億２３００万円、経常利益は９３．５％増の３９８億５９００万円、最終（当期）利益は４．８倍の２５２億４４００万円だった。昨年４月、コカ・コーラウエストを存続会社としてコカ・コーライーストジャパンと経営統合後、初の通期決算で増収増益となった。１８年１２月期の連結業績予想については売上高が１兆７３億円、経常利益は４７９億円、最終利益は２８８億円と見通した。新製品を投入するなど品ぞろえを強化して売り上げを伸ばすと同時に、製造コスト削減などの経営統合効果を見込んだ。【石田宗久】"
"従業員全員を無期雇用に　４月から","2018年2月13日 21時47分","経済,最新の経済ニュース,企業・産業,速報","ファミリーレストランを展開するジョイフルは１３日、パート、アルバイトのグループ従業員約１万７０００人全員の雇用形態を４月から無期雇用に切り替えると発表した。勤続５年を超えた労働者が無期契約に転換を申請できる無期転換ルールが４月から適用されるのに合わせ、雇用が５年を超えない従業員も対象にした。店舗網を拡大するうえで労働力の確保が課題となっており、従業員の待遇を改善する。対象はジョイフルの店舗や工場、配送センターなどで働くグループ１５社の従業員。「無期転換ルール」の対象者は６６００人だが、同社は「従業員に継続的、安定的に働いてもらおうと制度を変更した」。また同日発表した２０１７年１２月期連結決算は、経常利益が前期比２９．１％減の２２億２０００万円、最終（当期）利益は７９．２％減の３億６００万円で、いずれも２期ぶりの減益だった。新規出店や既存店のリニューアル経費に加え、時給を平均約２０円アップして人件費が増えた。不採算店の減損損失１２億８９００万円を計上した。売上高は１．７％増の６５６億４２００万円で４期連続の増収となり過去最高を更新した。ファミリーレストランや新業態のそば居酒屋など２４店を新規出店したため。【石田宗久】"
"アプリゲームなんて…と思ってる人こそ楽しめる! 中毒性高すぎクレーンゲーム「はたらくUFO」（GetNavi web）","2018年2月13日 20時30分","企業・産業",""
"コインチェック、業務改善４項目提出","2018年2月13日 20時23分","社会一般,最新の経済ニュース,企業・産業,速報,経済","仮想通貨交換業者コインチェックは１３日、仮想通貨ネムの不正流出問題を受け、再発防止策などを盛り込んだ業務改善計画を金融庁に提出した。金融庁は計画の内容を精査し、実施中の立ち入り検査の結果も踏まえ、業務の適正化を迫る方針だ。改善計画は、金融庁が１月に出した業務改善命令で提出を命じていた。コインチェックは計画で、流出の原因▽顧客対応の適正化▽安全管理に関する体制強化と流出の責任明確化▽再発防止策－－の４項目について、これまでの対応や今後の方針を報告した。一方、コインチェックは１３日、不正流出が発生した１月２６日以来停止していた日本円の預かり資金の出金を再開した。同社は１３日夜時点で、４０１億円の出金があったと明らかにした。顧客から預かる仮想通貨の引き出しや交換などは引き続き停止している。同社は、流出したネムを保有していた顧客約２６万人に約４６０億円を日本円で補償すると表明しているが、時期は依然明らかにしていない。１３日夜に記者団の取材に応じたコインチェックの大塚雄介取締役は「一歩一歩、改善に向けてやっている。（補償のための）資金の確保はできている」と述べる一方、補償や取引再開の時期は「明確になれば報告したい」と言及を避けた。【小原擁、岡大介】"
"空気清浄機は「空清特化＆フィルター交換型」がおすすめ!「蔦屋家電コンシェルジュ」が教える空気清浄機の選び方（GetNavi web）","2018年2月13日 19時30分","ライフ,企業・産業",""
"最高益２４０億円　１０年ぶり店舗純増","2018年2月13日 19時28分","経済,最新の経済ニュース,企業・産業,速報","日本マクドナルドホールディングスが１３日発表した２０１７年１２月期連結決算は最終（当期）利益が前期の約４．５倍に当たる２４０億円となり、過去最高を更新した。１８年からの３年間で１５０～２００店を新規出店する計画も公表。１８年は店舗数が１０年ぶりに純増となる。１７年１２月期は新商品の発売や販売促進キャンペーンが効果を上げた。店舗の改装も集客増に貢献し、売上高は前期比１１．９％増の２５３６億円となった。サラ・カサノバ社長は記者会見で「（１４年に発覚した期限切れ鶏肉使用問題という）困難な時期から回復し、持続的な成長のための強力な基盤を構築できた」と話した。（共同）"
"２００億円コスト増　労働環境改革、２年間で","2018年2月13日 19時08分","経済,最新の経済ニュース,企業・産業,速報","電通は１３日、労働環境改革に伴う増員や業務効率化などにより２０１７年と１８年の２年間で計２００億円のコスト増が見込まれると発表した。東京都内で記者会見した曽我有信取締役執行役員は「国内の最優先課題は労働環境改革と企業基盤の整備だ。改革は１８年でめどを付けたい」と話した。労働環境を改革するため、１７年は７０億円を投入し、３００人規模の増員や業務のＩＴ化、効率化を実施。１８年には業務、人材管理システムの変更や増員などで１３０億円のコスト増を見込んでいる。同時に発表した１７年１２月期連結決算は、本業のもうけを示す営業利益が前期比０．２％減の１３７３億円だった。（共同）"
"会長退任、相談役に　不正で業績下方修正","2018年2月13日 18時58分","経済,最新の経済ニュース,企業・産業,速報","製品データの改ざんがグループ会社で発覚した三菱マテリアルは１３日、矢尾宏会長（７１）が退任し、４月１日付で代表権のない取締役相談役になると発表した。経営体制の若返りが狙いという。不正の影響で２０１８年３月期の連結業績予想を下方修正したことも公表した。竹内章社長は経営トップにとどまり、不正問題の収拾に当たる。広報担当者は矢尾氏の会長退任について「製品データの改ざん問題とは無関係」と説明している。本業のもうけを示す営業利益予想は、従来の７５０億円から７００億円に引き下げた。製品データの改ざんによる減収を反映させた。（共同）"
"創業家会長は留任　リニア談合受け新体制","2018年2月13日 18時55分","経済,最新の経済ニュース,企業・産業,速報","大林組は１３日、リニア中央新幹線工事の談合事件を受けて３月１日に発足する新しい経営体制を発表した。創業家出身の大林剛郎会長（６３）は留任する。大林組は、大林会長の留任の理由について「創業家出身としてグループをまとめる求心力を発揮してもらう」などと説明している。事務全般を担当する原田昇三副社長（６８）は退任する。大林組は談合事件で当局から捜査を受けたのを踏まえ、白石達社長（７０）が辞任する人事を１月に発表していた。後任には蓮輪賢治取締役専務執行役員（６４）を充てる。白石社長は６月下旬の株主総会で取締役も退任し、相談役に就く。（共同）"
